"marital","sibs","childs","age","educ","sex","rincome","relig","relig16","year","id"
5,4,4,37,12,2,25000,1,NA,2021,589
5,2,0,36,12,1,7500,4,NA,2021,590
3,NA,2,62,14,2,25000,2,NA,2021,591
3,5,2,60,11,2,22500,1,NA,2021,593
2,15,4,80,16,2,NA,1,NA,2021,594
1,1,1,80,18,2,NA,1,NA,2021,595
1,4,1,71,16,1,NA,11,NA,2021,596
1,1,5,62,16,2,NA,2,NA,2021,598
5,1,0,29,17,2,6500,7,NA,2021,599
2,1,2,50,18,2,13,4,NA,2021,600
1,2,2,NA,NA,NA,NA,NA,NA,2021,601
1,1,1,34,15,1,25000,10,NA,2021,602
